Id	Spelling	Transcription	IsKeyComponent
L13S08W02	sex	 sex 	0
L13S08W03	hela	 hela 	0
L13S08W04	korgar	 korgar 	0
L13S09W00	Britta	 b r ² ɪ tː . a 	0
L13S09W01	höll	 höll 	0
L13S09W02	tolv	 tolv 	0
L13S09W03	lätta	 lätta 	0
L13S09W04	ringar	 ringar 	0
L14S00W00	Svante	 s v ² a nː . t e̞ 	0
L14S00W01	ägde	 ägde 	0
L14S00W02	tre	 tre 	0
L14S00W03	svarta	 svarta 	0
L14S00W04	mössor	 mössor 	0
L14S01W00	Jonas	 ʝ ² uː . n a s 	0
L14S01W01	visar	 visar 	0
L14S01W02	åtta	 åtta 	0
L14S01W03	nya	 nya 	0
L14S01W04	pennor	 pennor 	0
L14S02W00	Märta	 m ² ɛ̝ ʈː . a 	0
L14S02W01	lånar	 lånar 	0
L14S02W02	två	 två 	0
L14S02W03	ljusa	 ljusa 	0
L14S02W04	dukar	 dukar 	0
L14S03W00	Elsa	 ² ɛ̝ lː . s a 	0
L14S03W01	köpte	 köpte 	0
L14S03W02	tolv	 tolv 	0
L14S03W03	hela	 hela 	0
L14S03W04	korgar	 korgar 	0
L14S04W00	Peter	 p ˈ eː . t e̞ r 	0
L14S04W01	gav	 gav 	0
L14S04W02	sex	 sex 	0
L14S04W03	gamla	 gamla 	0
L14S04W04	knappar	 knappar 	0
L14S05W00	Karin	 k ² ɑː . r ɪ n 	0
L14S05W01	ser	 ser 	0
L14S05W02	elva	 elva 	0
L14S05W03	mörka	 mörka 	0
L14S05W04	ringar	 ringar 	0
L14S06W00	Britta	 b r ² ɪ tː . a 	0
L14S06W01	höll	 höll 	0
L14S06W02	sju	 sju 	0
L14S06W03	lätta	 lätta 	0
L14S06W04	bollar	 bollar 	0
L14S07W00	Anna	 ² a nː . a 	0
L14S07W01	har	 har 	0
L14S07W02	nio	 nio 	0
L14S07W03	stora	 stora 	0
L14S07W04	lådor	 lådor 	0
L14S08W00	Bosse	 b ² ʊ sː . e̞ 	0
