Id	Transcription
L05S00W05P01	ŋː
L05S00W05P02	e̞
L05S00W05P03	n
L05S01W00P00	k
L05S01W00P01	l
L05S01W00P02	a͡uː
L05S01W00P03	n
L05S01W00P04	e̞
L05S01W00P05	n
L05S01W01P00	t
L05S01W01P01	a
L05S01W01P02	pː
L05S01W01P03	a
L05S01W01P04	r
L05S01W02P00	ɛ̝
L05S01W02P01	nː
L05S01W03P00	b
L05S01W03P01	a
L05S01W03P02	l
L05S01W03P03	ɔ
L05S01W03P04	ŋː
L05S02W00P00	p
L05S02W00P01	a
L05S02W00P02	pː
L05S02W00P03	a
L05S02W01P00	b
L05S02W01P01	ʏ
L05S02W01P02	ɡː
L05S02W01P03	d
L05S02W01P04	e̞
L05S02W02P00	k
L05S02W02P01	ɔ
L05S02W02P02	ʝː
L05S02W02P03	ʊ
L05S02W02P04	r
L05S02W03P00	m
L05S02W03P01	eː
L05S02W04P00	ɔ
L05S02W04P01	sː
L05S03W00P00	d
L05S03W00P01	ɛ̝
L05S03W00P02	nː
L05S03W01P00	s
L05S03W01P01	t
L05S03W01P02	uː
L05S03W01P03	r
L05S03W01P04	a
L05S03W02P00	s
L05S03W02P01	v
L05S03W02P02	a
L05S03W02P03	ʈː
L05S03W02P04	a
L05S03W03P00	h
L05S03W03P01	ɛ̝
L05S03W03P02	sː
L05S03W03P03	t
L05S03W03P04	e̞
L05S03W03P05	n
L05S03W04P00	f
L05S03W04P01	r
L05S03W04P02	øː
L05S03W04P03	s
L05S04W00P00	f
L05S04W00P01	l
L05S04W00P02	ɪ
L05S04W00P03	kː
L05S04W00P04	a
L05S04W00P05	n
L05S04W01P00	v
L05S04W01P01	ɑː
L05S04W01P02	l
L05S04W01P03	d
L05S04W01P04	e̞
L05S04W02P00	m
L05S04W02P01	ɛ̝
L05S04W02P02	lː
L05S04W02P03	a
L05S04W02P04	n
L05S04W03P00	t
L05S04W03P01	r
L05S04W03P02	eː
L05S04W04P00	p
L05S04W04P01	ɑː
L05S04W04P02	r
L05S04W05P00	ʝ
L05S04W05P01	iː
L05S04W05P02	n
L05S04W05P03	s
L05S05W00P00	ɧ
L05S05W00P01	eː
L05S05W00P02	f
L05S05W00P03	e̞
L05S05W00P04	n
L05S05W01P00	h
L05S05W01P01	ɪ
L05S05W01P02	tː
L05S05W01P03	a
L05S05W01P04	d
